src,ppc,mos,std,ci
p01,p01_geocnn_r01,1.2857142857142856,0.8438116736509218,0.2125112179704897
p01,p01_geocnn_r02,1.1166666666666667,0.3210226714043039,0.0829289495960147
p01,p01_geocnn_r03,3.7540983606557377,1.182602544057143,0.3028785749772915
p01,p01_geocnn_r04,3.716666666666667,1.1984944258897865,0.3096039398119164
p01,p01_gpcc-octree-predlift_r02,2.1129032258064515,1.048883257283168,0.2663664720439438
p01,p01_gpcc-octree-predlift_r03,3.3833333333333333,1.0180318702716966,0.2629855183983939
p01,p01_gpcc-octree-predlift_r04,3.7377049180327866,0.9035746740669296,0.2314162192887507
p01,p01_gpcc-octree-predlift_r05,4.19672131147541,0.9887841868852604,0.253239388828354
p01,p01_gpcc-octree-predlift_r06,4.216666666666667,1.018031870271697,0.262985518398394
p01,p01_gpcc-octree-raht_r02,1.7288135593220335,0.8198906184710391,0.2136646587661065
p01,p01_gpcc-octree-raht_r03,3.189655172413793,0.8799862175982655,0.2313805807775247
p01,p01_gpcc-octree-raht_r04,3.885245901639344,0.9767520727715566,0.2501578213185968
p01,p01_gpcc-octree-raht_r05,4.483333333333333,0.7186020379103366,0.1856345906062409
p01,p01_gpcc-octree-raht_r06,4.516129032258064,0.7126039365927264,0.1809675149610921
p01,p01_vpcc_r00,2.2295081967213117,1.0145408817551345,0.2598359846817242
p01,p01_vpcc_r01,2.7540983606557377,0.9692947868258676,0.2482479217062724
p01,p01_vpcc_r02,3.0508474576271185,0.8910806391928757,0.2322168791994234
p01,p01_vpcc_r03,3.2,0.8717797887081346,0.2252045995391713
p01,p01_vpcc_r04,3.4482758620689653,0.9316728335245724,0.2449708836394195
p01,p01_vpcc_r05,3.9322033898305087,0.9180747500983618,0.23925158281156
p05,p05_geocnn_r01,1.836065573770492,0.8333288542386125,0.2134254294713019
p05,p05_geocnn_r02,2.6557377049180326,0.9561748571421432,0.2448877516927901
p05,p05_geocnn_r03,3.3508771929824563,1.0343440682795562,0.2744484228420678
p05,p05_geocnn_r04,3.016949152542373,0.98275857724232,0.2561082799648619
p05,p05_gpcc-octree-predlift_r02,1.65,0.9278110439811188,0.2396790076051446
p05,p05_gpcc-octree-predlift_r03,2.95,0.7399324293474371,0.191144815004451
p05,p05_gpcc-octree-predlift_r04,3.4745762711864407,0.8100205522270184,0.2110925054952711
